,Class_00,Modularity ,Mod with Resolution,No communitiesof comunities
Iteration_0.1,Class_00,0.886,0.082,161
Iteration_0.2,Class_00,0.909,0.172,105
Iteration_0.3,Class_00,0.92,0.265,77
Iteration_0.4,Class_00,0.925,0.358,64
iteraction_0.5,Class_00,0.932,0.454,54
Iteration_06,Class_00,0.934,0.505,48
Iteration_07,Class_00,0.933,0.646,48
iteration_08,Class_00,0.933,0.741,41
Iteration _0.9,Class_00,0.933,0.837,40
Iteration_1.0,Class_00,0.933,0.933,34
iteration_2.0,Class_00,0.928,1.901,26
